Age,GPA,Interested Domain,Projects,Future Career,Python,SQL,Java
21,3.5,Artificial Intelligence,Chatbot Development; Computer Vision; 3D Modeling,Machine Learning Researcher,Strong,Strong,Weak
20,3.2,Data Science,Data Analytics; Machine Learning; Deep Learning Models,Data Scientist,Average,Strong,Weak
22,3.8,Software Development,E-commerce Website; Mobile App Development; Chatbot Development,Software Engineer,Strong,Strong,Average
21,3.7,Web Development,Full-Stack Web App; E-commerce Website; Quantum Algorithm Development,Web Developer,Weak,Strong,Strong
23,3.4,Cybersecurity,Network Security; Penetration Testing; Mobile App Development,Information Security Analyst,Average,Weak,Strong
22,3.9,Machine Learning,Image Recognition; Natural Language Processing; 3D Rendering,Machine Learning Engineer,Strong,Average,Weak
20,3.6,Database Management,SQL Query Optimization; Data Warehouse Design; Android App Development,Database Administrator,Average,Strong,Weak
21,3.7,Cloud Computing,AWS Deployment; Cloud Migration Specialist; Deep Learning Models,Cloud Solutions Architect,Weak,Strong,Average
23,3.3,Mobile App Development,Android App; iOS App Development; Object Detection,Mobile App Developer,Average,Weak,Strong
22,3.5,Computer Graphics,3D Rendering; 3D Animation; Natural Language Processing,Graphics Programmer,Weak,Average,Strong
21,3.8,Artificial Intelligence,Natural Language Processing; Computer Vision; SQL Query Optimization,NLP Research Scientist,Strong,Average,Weak
22,3.7,Web Development,Full-Stack Web App; Front-End Development; Cross-Platform App Development,Web Developer,Strong,Strong,Average
21,3.3,Mobile App Development,iOS App; Cross-Platform App Development; Neural Network Development,Mobile App Developer,Average,Weak,Strong
23,3.5,Computer Graphics,Game Development; 3D Rendering; Smart Home Automation,Game Developer,Weak,Average,Strong
22,3.8,Software Engineering,E-commerce Website; DevOps; SQL Query Optimization,Software Engineer,Strong,Strong,Average
20,3.6,Cybersecurity,Network Security; Penetration Testing; Quantum Algorithm Development,Information Security Analyst,Average,Weak,Strong
21,3.9,Machine Learning,Image Recognition; Natural Language Processing; Enterprise Software Development,Machine Learning Engineer,Strong,Average,Weak
23,3.6,Database Management,SQL Query Optimization; SQL Database Administration; Cloud Infrastructure Management,Database Administrator,Average,Strong,Weak
22,3.7,Cloud Computing,AWS Deployment; Cloud Migration Specialist; Security Auditing,Cloud Solutions Architect,Weak,Strong,Average
20,3.3,Mobile App Development,Android App; Cross-Platform App Development; Cloud Infrastructure Management,Mobile App Developer,Average,Weak,Strong
